Temporada,Jugadora,Nacionalidad,Equipo,Puntos,Partidos,Rebotes Totales,Rebotes Ofensivos,Rebotes Defensivos,Asistencias,Balones recuperados,Balones perdidos,Tapones a favor,Tapones en contra,Faltas recibidas,Faltas cometidas,Valoración,Minutos jugados,% Tiros de 2,% Tiros de 3,% Tiros Libres
"2007/2008,""FREIXANET VIEJO, JAEL"",Nacional,MANN FILTER ZARAGOZA,161,26,66,22,44,24,20,41,8,2,26,73,75,572:25,39 / 76,21 / 91,"
"2007/2008,""GALLEGO VICARIO, SANDRA"",Nacional,C.B. OLESA - ESPANYOL,289,24,56,13,43,65,35,62,,5,46,38,233,850:10,68 / 136,42 / 112,"
"2007/2008,""GARCIA MATA, GEMA"",Nacional,REAL CLUB CELTA VIGOURBAN,54,21,27,8,19,26,16,21,,2,24,24,58,303:02,,,"
"2007/2008,""GARCIA PIÑERO, MARIA BEGOÑA"",Nacional,HONDARRIBIA - IRÚN,264,26,89,18,71,68,40,51,2,6,75,60,240,831:00,50 / 125,39 / 131,47 / 61"
"2007/2008,""GARVAO ZAKRZESKI, SOELI"",Extranjero,MANN FILTER ZARAGOZA,352,26,195,50,145,51,47,106,20,10,114,76,403,887:02,123 / 228,12 / 54,70 / 107"
"2007/2008,""GILABERT AVANTE, MONTSERRAT"",Nacional,CADI LA SEU,24,17,9,3,6,3,9,10,,,11,19,1,126:24,,,"
"2007/2008,""GOMEZ FERREIROS, SARA"",Nacional,EXTRUGASA,270,26,71,18,53,42,43,57,,13,72,66,189,833:45,42 / 101,48 / 138,42 / 66"
"2007/2008,""GOMEZ IGUAL, ANNA"",Nacional,CLUB BALONCESTO SAN JOSÉ,117,26,42,8,34,26,20,32,,4,37,30,120,344:29,,15 / 34,"
"2007/2008,""GOMEZ NOVO, MARIA ARANZAZU"",Nacional,RIVAS FUTURA,135,26,72,23,49,55,32,46,,3,75,48,202,480:35,,16 / 47,37 / 52"
"2007/2008,""HERRADAS MARTIN, IRENE"",Nacional,EBE PROMOCIONES SANTA EULALIAI,63,25,34,6,28,4,5,11,2,,11,34,34,219:05,,,"
"2007/2008,""HERRERA AREVALO, MIRIAM"",Nacional,EXTRUGASA,139,24,39,11,28,6,11,24,4,1,14,41,77,370:45,39 / 75,16 / 48,"
"2007/2008,""HILL, JOANNE KAY"",Extranjero,EXTRUGASA,149,26,58,11,47,27,28,31,,2,59,76,122,538:52,38 / 87,12 / 45,"
"2007/2008,""HLEDE, KORALJKA"",Extranjero,EXTREMADURA DATO,249,25,98,23,75,45,33,74,2,3,54,37,223,740:35,77 / 181,19 / 50,"
"2007/2008,""HODGES, RONEEKA RAYSHELL"",Extranjero,GRAN CANARIA LA CAJA DE CANARI,525,26,115,26,89,79,36,84,6,9,115,62,431,990:17,124 / 288,55 / 161,112 / 132"
"2007/2008,""INFANTE NUÑEZ, LORENA"",Nacional,EXTREMADURA DATO,201,26,97,13,84,87,38,94,1,5,81,62,212,900:35,27 / 66,32 / 109,51 / 67"
"2007/2008,""JANSONE, LIENE"",Extranjero,HONDARRIBIA - IRÚN,328,26,156,50,106,24,23,26,2,5,63,58,347,898:19,103 / 212,22 / 56,56 / 73"
"2007/2008,""JIMENEZ GALINDO, ANNA ISABEL"",Nacional,C.B. OLESA - ESPANYOL,55,22,27,8,19,39,28,25,,3,20,68,23,355:30,,12 / 31,"
"2007/2008,""JOENS, CATHERINE ELISABETH"",Extranjero,RIVAS FUTURA,403,26,93,16,77,63,29,64,,4,87,77,364,826:45,83 / 165,55 / 124,72 / 87"
"2007/2008,""JORDANA BOFILL, NOEMI"",Nacional,C. ROS CASARES VALENCIA,105,24,20,7,13,27,12,24,,2,16,26,81,320:10,,27 / 55,"
"2007/2008,""JORNET BARTOLOME, LAURA"",Nacional,CADI LA SEU,42,22,20,11,9,7,9,10,1,4,12,18,17,190:47,,,"
"2007/2008,""KORPIVAARA, HETA MARIA"",Extranjero,GRAN CANARIA LA CAJA DE CANARI,39,15,22,13,9,2,6,11,1,3,16,13,17,211:28,,,"
"2007/2008,""KRESS, MARINA"",Extranjero,EXTRUGASA,163,22,125,44,81,14,16,42,3,4,70,70,184,502:46,55 / 117,,41 / 57"
"2007/2008,""LELAS BENKOVIC, KRISTINA"",Extranjero,C.B. OLESA - ESPANYOL,118,20,88,31,57,13,9,38,2,2,48,40,148,457:14,50 / 89,,"
"2007/2008,""LILJESTRAND, THYRA LINNEA"",Extranjero,EBE PROMOCIONES SANTA EULALIAI,204,26,37,12,25,15,17,20,2,5,19,38,122,488:11,42 / 88,35 / 91,"
"2007/2008,""LIMA GARCIA, CINDY ORQUIDEA"",Nacional,CLUB BALONCESTO SAN JOSÉ,147,26,125,50,75,12,25,33,10,5,51,65,191,421:41,55 / 111,,37 / 57"
"2007/2008,""LOPEZ VERDU, ALICIA"",Nacional,EBE PROMOCIONES SANTA EULALIAI,141,22,33,7,26,40,15,30,1,9,35,40,111,436:16,31 / 72,20 / 48,"
"2007/2008,""LYTTLE LYTTLE, SANCHO TRACY CONSTANCE"",Nacional,EBE PROMOCIONES SANTA EULALIAI,340,26,260,69,191,41,74,79,32,18,93,68,514,700:16,133 / 271,,74 / 93"
"2007/2008,""MALLABIABARRENA UGALDE, ITZIAR"",Nacional,HONDARRIBIA - IRÚN,34,15,25,13,12,6,5,14,,1,16,16,37,111:05,,,"
"2007/2008,""MALTSI, EVANTHIA"",Extranjero,C. ROS CASARES VALENCIA,173,25,60,13,47,41,15,32,2,2,28,43,167,447:13,27 / 60,36 / 74,"
"2007/2008,""MARCOS BENITO, BLANCA"",Nacional,PERFUMERIAS AVENIDA,114,20,25,3,22,18,31,16,,1,29,16,100,305:04,,17 / 63,"
"2007/2008,""MARÇAL, PALMIRA CRISTINA"",Extranjero,C.B. OLESA - ESPANYOL,89,23,58,11,47,33,15,36,,6,43,66,40,481:23,,10 / 54,"
"2007/2008,""MATIC , IVANKA"",Extranjero,PERFUMERIAS AVENIDA,221,26,150,54,96,4,8,40,4,8,61,57,259,507:19,85 / 142,,48 / 69"
"2007/2008,""MCKAY, SARAH FRANCES"",Extranjero,CADI LA SEU,148,21,108,32,76,12,12,40,12,5,37,48,167,458:00,59 / 118,,"
"2007/2008,""MERCADAL ESCOLANO, PAOLA"",Nacional,MANN FILTER ZARAGOZA,25,21,28,11,17,5,4,9,1,1,13,23,14,203:41,,,"
"2007/2008,""MILJOVIC, MAJA"",Extranjero,REAL CLUB CELTA VIGOURBAN,153,23,51,8,43,38,19,53,2,8,97,42,171,481:13,42 / 76,8 / 29,45 / 76"
"2007/2008,""MILLER, CLIFETEANA MC KIVER"",Extranjero,ARRANZ-JOPISA BURGOS,262,24,168,60,108,16,10,60,22,12,77,72,278,699:02,99 / 200,,64 / 96"
"2007/2008,""MILTON, DELISHA LACHELL"",Extranjero,C. ROS CASARES VALENCIA,334,25,143,33,110,48,37,73,15,2,77,69,373,667:11,120 / 215,7 / 29,73 / 93"
"2007/2008,""MONDT, ANKE DE"",Extranjero,PERFUMERIAS AVENIDA,184,25,88,21,67,38,26,43,2,3,24,46,147,663:16,38 / 91,32 / 98,"
"2007/2008,""MONTAÑANA GIMENO, ANNA"",Nacional,PERFUMERIAS AVENIDA,383,26,151,40,111,77,54,101,4,3,63,50,388,861:13,125 / 243,30 / 87,43 / 58"
"2007/2008,""MONTESDEOCA LOPEZ, EVA"",Nacional,GRAN CANARIA LA CAJA DE CANARI,84,25,91,46,45,,13,25,4,4,24,63,81,337:36,34 / 63,,"
"2007/2008,""MOODY, MEGAN JANELLE"",Extranjero,CADI LA SEU,209,21,63,17,46,19,22,28,6,4,30,57,143,563:29,57 / 108,24 / 80,"
"2007/2008,""MORALES MARTIN, SILVIA"",Nacional,EBE PROMOCIONES SANTA EULALIAI,411,26,70,13,57,130,58,80,1,13,150,49,500,808:59,123 / 214,16 / 65,117 / 155"
"2007/2008,""MUJANOVIC, RAZIJA"",Extranjero,REAL CLUB CELTA VIGOURBAN,270,25,172,51,121,29,9,80,19,4,90,72,303,774:42,98 / 205,,62 / 85"
"2007/2008,""MUSOVIC, MILJANA"",Extranjero,C.B. OLESA - ESPANYOL,362,26,66,10,56,69,64,72,5,10,94,83,292,859:05,87 / 175,40 / 124,68 / 99"
"2007/2008,""NASCIMENTO, FRANCIELE APARECIDA"",Extranjero,MANN FILTER ZARAGOZA,116,13,69,25,44,7,4,34,6,,35,22,103,273:06,38 / 97,,"
"2007/2008,""NAVARRETE TRUJILLO, MIREIA"",Nacional,EBE PROMOCIONES SANTA EULALIAI,83,26,45,14,31,8,7,21,,2,19,29,37,345:10,,12 / 51,"
"2007/2008,""NAVARRO SALLES, LAURA"",Nacional,EBE PROMOCIONES SANTA EULALIAI,143,26,42,15,27,35,35,42,1,5,58,49,157,459:36,42 / 72,,35 / 54"
"2007/2008,""OLIVA MARTIN, NOELIA"",Nacional,ARRANZ-JOPISA BURGOS,66,25,36,11,25,21,22,39,1,4,25,37,42,336:50,,7 / 26,"
"2007/2008,""OUVIÑA MODREGO, CRISTINA"",Nacional,MANN FILTER ZARAGOZA,43,15,18,5,13,6,11,13,,1,17,23,18,140:32,,,"
"2007/2008,""PAGE, LINDA A. MURRIEL"",Extranjero,CLUB BALONCESTO SAN JOSÉ,248,26,181,47,134,43,14,61,6,4,64,70,285,790:04,99 / 218,,50 / 62"
"2007/2008,""PALAU ALTES, LAIA"",Nacional,C. ROS CASARES VALENCIA,140,26,70,22,48,82,43,31,7,1,48,50,229,532:42,43 / 91,10 / 34,"
"2007/2008,""PALOMARES VALIENTE, PAULA"",Nacional,MANN FILTER ZARAGOZA,251,17,33,6,27,41,26,39,,6,57,55,186,525:59,31 / 81,48 / 113,45 / 52"
"2007/2008,""PASCUA SUAREZ, MARIA LUCILA"",Nacional,CLUB BALONCESTO SAN JOSÉ,189,26,162,51,111,22,14,30,5,5,61,61,250,534:51,69 / 147,,42 / 57"
"2007/2008,""PAVETIC, SENA"",Extranjero,RIVAS FUTURA,27,13,14,8,6,1,1,5,,1,6,6,19,80:44,,,"
"2007/2008,""PELAEZ SAN GIL, LOURDES"",Nacional,EXTREMADURA DATO,177,18,63,10,53,15,16,35,4,2,52,41,167,475:04,,34 / 78,"
"2007/2008,""PERUCH, NADIA LILIANE MARIE"",Extranjero,CLUB BALONCESTO SAN JOSÉ,15,13,5,4,1,2,1,3,,,4,4,1,74:40,,,"
"2007/2008,""PETROVA, TEODORA ANTONOVA"",Extranjero,ARRANZ-JOPISA BURGOS,74,17,30,4,26,17,8,15,,1,15,20,59,244:14,,11 / 32,"
"2007/2008,""PIIPARI, REETTA SINIKKA KARINE"",Extranjero,GRAN CANARIA LA CAJA DE CANARI,256,26,58,7,51,76,22,42,1,6,30,57,177,839:25,30 / 66,60 / 182,"
"2007/2008,""PINA TOLOSA, MARIA"",Nacional,RIVAS FUTURA,42,19,26,5,21,4,4,8,,1,3,14,30,223:09,,,"
"2007/2008,""PIRSIC, SANDRA"",Extranjero,CADI LA SEU,121,16,87,38,49,8,8,34,10,1,42,38,144,348:08,51 / 96,,"
"2007/2008,""PODKOVALNIKOVA , OLGA"",Extranjero,C.B. OLESA - ESPANYOL,244,17,128,32,96,12,21,52,11,5,72,63,246,434:36,93 / 188,,52 / 77"
"2007/2008,""PONS MOLINA, INGRID"",Nacional,EBE PROMOCIONES SANTA EULALIAI,94,26,118,50,68,20,15,24,5,2,45,53,150,455:33,35 / 82,,"
"2007/2008,""QUINTERO CASTELLANO, THANIA"",Nacional,HONDARRIBIA - IRÚN,67,24,23,5,18,20,17,12,,1,13,37,47,315:44,,8 / 33,"
"2007/2008,""RASMUSSEN, KRISTEN"",Extranjero,EBE PROMOCIONES SANTA EULALIAI,267,26,133,36,97,33,42,32,10,1,46,51,354,703:34,85 / 152,21 / 42,"
"2007/2008,""REID, TRACY LASHAWN"",Extranjero,PERFUMERIAS AVENIDA,203,26,109,39,70,22,23,41,7,4,42,26,230,582:58,84 / 172,,35 / 52"
"2007/2008,""REVUELTO SÁNCHEZ-AGUILERA, MARIA"",Nacional,CLUB BALONCESTO SAN JOSÉ,185,26,81,25,56,31,38,47,3,3,63,50,172,583:49,35 / 108,24 / 71,43 / 52"
"2007/2008,""ROBINSON, ASHLEY KHRISTINA"",Extranjero,HONDARRIBIA - IRÚN,56,18,94,31,63,12,10,25,13,,13,42,91,317:49,27 / 60,,"
"2007/2008,""RODRIGUEZ MANSO, LEONOR DEL PILAR"",Nacional,GRAN CANARIA LA CAJA DE CANARI,84,18,26,7,19,17,11,10,1,2,24,20,95,271:56,,,"
"2007/2008,""ROVIRA RODRIGUEZ, MARIA DEL MAR"",Nacional,MANN FILTER ZARAGOZA,281,26,142,34,108,69,36,69,2,6,83,80,280,898:52,47 / 135,40 / 109,67 / 88"
"2007/2008,""ROYO TORRES, MARIA ESTELA"",Nacional,MANN FILTER ZARAGOZA,202,26,88,39,49,33,35,32,,14,69,62,205,584:52,67 / 125,8 / 37,44 / 71"
"2007/2008,""SANCHEZ FERNANDEZ, ISABEL"",Nacional,PERFUMERIAS AVENIDA,237,22,69,20,49,29,27,37,5,11,74,38,247,556:39,62 / 114,17 / 56,62 / 79"
"2007/2008,""SANTOS DE OLIVEIRA, ALESSANDRA"",Extranjero,PERFUMERIAS AVENIDA,234,25,160,81,79,4,18,47,6,12,91,62,271,546:14,90 / 166,,54 / 99"
"2007/2008,""SANTOS LUZ, HELEN CRISTINA"",Extranjero,CADI LA SEU,325,26,61,11,50,80,45,80,4,7,62,51,290,760:18,48 / 93,66 / 162,"
"2007/2008,""SANTOS LUZ, SILVIA ANDREA"",Extranjero,CADI LA SEU,364,26,67,12,55,88,51,80,2,9,74,54,323,873:08,109 / 217,34 / 93,44 / 57"
"2007/2008,""SARENAC, RANKICA"",Extranjero,RIVAS FUTURA,316,26,161,45,116,34,11,72,6,13,81,57,319,643:24,124 / 252,,68 / 88"
"2007/2008,""SEGUI CARLES, PAULA"",Nacional,CLUB BALONCESTO SAN JOSÉ,113,26,59,19,40,7,7,29,1,2,14,58,40,341:00,32 / 71,13 / 39,"
"2007/2008,""SOUSA DE CARVALHO, CRISTINA"",Extranjero,CADI LA SEU,109,25,30,8,22,42,38,34,,4,44,55,98,383:01,21 / 52,15 / 46,"
"2007/2008,""STEVENSON, MANDISA ARAMINTA SANURA"",Extranjero,EXTREMADURA DATO,202,21,152,37,115,6,17,33,14,3,51,56,187,616:04,82 / 193,6 / 36,"
"2007/2008,""SUAREZ UTRERO, ANA MARIA"",Nacional,HONDARRIBIA - IRÚN,26,23,15,10,5,13,11,26,,1,9,16,9,201:51,,,"
"2007/2008,""SVITLICA, DRAGANA"",Extranjero,REAL CLUB CELTA VIGOURBAN,60,21,47,23,24,3,11,17,2,1,15,59,33,254:53,,,"
"2007/2008,""TAMANE, ZANE"",Extranjero,HONDARRIBIA - IRÚN,257,26,212,78,134,30,24,54,31,7,57,76,339,742:05,110 / 229,,37 / 53"
"2007/2008,""THORBURN, SHONA LOUISE"",Extranjero,EBE PROMOCIONES SANTA EULALIAI,143,26,75,25,50,52,21,39,2,7,37,26,155,583:20,36 / 105,12 / 41,"
"2007/2008,""TORNIKIDOU TORNIKIDOU, ELENA"",Nacional,C. ROS CASARES VALENCIA,237,24,82,29,53,51,27,46,8,6,56,38,292,622:22,87 / 152,,57 / 64"
"2007/2008,""TORRENS SALOM, ALBA"",Nacional,REAL CLUB CELTA VIGOURBAN,294,26,108,11,97,32,36,60,6,4,61,54,232,630:02,70 / 167,36 / 112,46 / 60"
"2007/2008,""TUUKKANEN, TARU TELLERVO"",Extranjero,GRAN CANARIA LA CAJA DE CANARI,407,26,193,54,139,12,29,36,12,15,126,65,389,931:05,108 / 279,29 / 100,104 / 136"
"2007/2008,""VALERO CEBRIAN, PILAR"",Nacional,REAL CLUB CELTA VIGOURBAN,211,25,63,20,43,31,27,29,2,1,25,41,190,658:53,37 / 87,35 / 78,"
"2007/2008,""VALIENTE RASTROLLO, PATRICIA"",Nacional,ARRANZ-JOPISA BURGOS,121,26,81,33,48,15,9,40,1,3,47,75,46,432:23,43 / 114,6 / 32,"
"2007/2008,""VESELOVSKI, MONIKA"",Extranjero,HONDARRIBIA - IRÚN,194,26,58,8,50,40,15,47,,3,60,72,129,638:31,38 / 89,23 / 75,49 / 62"
"2007/2008,""WILLINGHAM, LE`COE LOUISE"",Extranjero,C.B. OLESA - ESPANYOL,488,26,287,80,207,52,42,112,8,13,124,67,635,962:56,141 / 240,34 / 80,104 / 133"
"2007/2008,""WYCKOFF, BROOKE ELIZABETH"",Extranjero,GRAN CANARIA LA CAJA DE CANARI,233,26,231,64,167,41,42,44,24,1,70,94,391,911:23,30 / 67,51 / 112,"
Temporada,Jugadora,Nacionalidad,Equipo,Puntos,Partidos,Rebotes Totales,Rebotes Ofensivos,Rebotes Defensivos,Asistencias,Balones recuperados,Balones perdidos,Tapones a favor,Tapones en contra,Faltas recibidas,Faltas cometidas,Valoración,Minutos jugados,% Tiros de 2,% Tiros de 3,% Tiros Libres
"2006/2007,""ABALDE DIAZ, TAMARA"",Nacional,REAL CLUB CELTA VIGOURBAN,176,25,89,34,55,13,21,42,6,4,62,49,131,504:36,63 / 178,,41 / 59"
"2006/2007,""ABROMAITE, AGNE"",Extranjero,EXTRUGASA,247,26,134,53,81,20,21,41,6,11,84,88,226,739:40,90 / 211,,67 / 91"
"2006/2007,""AGUILAR LOPEZ , ELISA"",Nacional,C. ROS CASARES VALENCIA,226,25,82,9,73,104,30,37,1,7,26,21,289,709:26,31 / 66,45 / 116,"
"2006/2007,""ALAMO GONZALEZ, ELENA"",Nacional,GRAN CANARIA,159,26,48,8,40,63,26,72,1,8,57,65,105,462:21,35 / 90,20 / 60,"
"2006/2007,""ALONSO DIEGO, MARIA JOSE"",Nacional,REAL CLUB CELTA VIGOURBAN,152,26,87,26,61,81,41,64,,9,79,83,177,669:43,27 / 77,17 / 50,47 / 71"
"2006/2007,""ANTOJA ROVIRA, LAURA"",Nacional,HONDARRIBIA-IRÚN,134,23,61,12,49,22,22,39,,5,41,56,69,620:08,24 / 74,19 / 70,"
"2006/2007,""ARDON, LESLIE"",Extranjero,EXTRUGASA,188,26,83,31,52,17,45,37,14,5,45,70,146,582:33,39 / 96,27 / 92,"
"2006/2007,""ARGUELLO CUENCA, PATRICIA"",Nacional,USP-CEU MMT ESTUDIANTES,162,25,56,15,41,32,15,52,1,7,31,64,53,562:00,37 / 78,25 / 101,"
"2006/2007,""ASURMENDI VILLAVERDE, MARIA DEL CARMEN"",Nacional,ARRANZ-JOPISA BURGOS,39,19,28,4,24,23,24,22,,1,28,28,58,277:46,,,"
"2006/2007,""BATTLE , ASHLEY MICHELLE"",Extranjero,GRAN CANARIA,417,26,142,35,107,44,55,88,6,8,78,45,325,851:44,108 / 257,44 / 145,69 / 95"
"2006/2007,""BENNINGFIELD, JENNIFER ANN"",Extranjero,EBE PROMOCIONES-PDV STA.EULALI,323,26,157,45,112,36,25,29,16,14,57,53,356,799:23,124 / 249,10 / 40,45 / 52"
"2006/2007,""BERMEJO MORENO, CLARA SUSANA"",Nacional,PERFUMERIAS AVENIDA,133,26,83,10,73,87,39,67,5,2,40,59,199,703:07,36 / 59,13 / 40,"
"2006/2007,""BLANCO BERNAL, SONIA"",Nacional,ARRANZ-JOPISA BURGOS,88,22,60,26,34,14,11,15,,9,21,30,95,323:37,33 / 75,,"
"2006/2007,""BLANES MACHO, MARTA"",Nacional,RIVAS FUTURA,106,25,41,11,30,13,16,10,7,1,50,41,122,320:12,,12 / 30,"
"2006/2007,""BOKESA ABIA, AURI LORENA"",Nacional,USP-CEU MMT ESTUDIANTES,21,17,24,6,18,4,3,5,,1,9,14,15,118:02,,,"
"2006/2007,""BROWN, KIESHA LINDSAY"",Extranjero,MANN FILTER ZARAGOZA,338,20,105,32,73,41,40,50,2,6,83,40,320,673:28,85 / 203,27 / 89,87 / 100"
"2006/2007,""CALVO VERA, ARANTXA"",Nacional,RIVAS FUTURA,127,26,66,25,41,28,24,35,,8,38,63,85,460:54,36 / 100,11 / 28,"
"2006/2007,""CAMPS COLLELL, LAURA"",Nacional,PERFUMERIAS AVENIDA,66,20,52,13,39,24,21,30,,3,28,24,59,448:30,17 / 60,8 / 38,"
"2006/2007,""CANTERO OSTOS, CRISTINA"",Nacional,REAL CLUB CELTA VIGOURBAN,130,25,77,10,67,56,26,47,2,6,71,71,138,584:53,17 / 57,17 / 65,45 / 57"
"2006/2007,""CARBO COLOMA, ANNA"",Nacional,USP-CEU MMT ESTUDIANTES,166,26,66,28,38,16,24,37,1,19,45,19,112,476:07,38 / 119,19 / 50,33 / 52"
"2006/2007,""CASTRO MARQUES, IZIANE"",Extranjero,HONDARRIBIA-IRÚN,242,13,65,14,51,11,12,27,3,11,47,24,161,408:17,64 / 157,24 / 76,42 / 54"
"2006/2007,""CHECA JIMENO, MARIA TERESA"",Nacional,MANN FILTER ZARAGOZA,198,25,130,45,85,22,19,47,2,12,46,61,151,624:39,46 / 118,24 / 84,"
"2006/2007,""CHONES, KAAYLA MONET"",Extranjero,GRAN CANARIA,248,13,128,25,103,5,9,37,7,7,72,41,272,476:24,91 / 187,,66 / 80"
"2006/2007,""CHRISTON, SHAMEKA DE LYNN"",Extranjero,RIVAS FUTURA,162,15,65,18,47,12,21,32,22,6,36,38,147,435:13,52 / 103,15 / 50,"
"2006/2007,""CIOCAN, PAULA CRISTINA"",Extranjero,ARRANZ-JOPISA BURGOS,184,26,88,18,70,106,30,83,3,6,42,82,183,687:15,58 / 121,14 / 40,"
"2006/2007,""COMPAÑ APARISI, VERONICA"",Nacional,MANN FILTER ZARAGOZA,22,14,17,7,10,4,6,4,,,5,20,2,126:42,,,"
"2006/2007,""CRUZ LEBRATO, ANNA"",Nacional,ARRANZ-JOPISA BURGOS,292,26,95,24,71,44,48,42,1,8,72,56,285,692:08,99 / 212,12 / 37,58 / 81"
"2006/2007,""DA SILVA SANTOS, KELLY"",Extranjero,ACIS INCOSA LEON,201,26,135,42,93,20,13,44,4,12,56,46,177,637:31,88 / 213,,"
"2006/2007,""DA SILVA, KATIA"",Extranjero,EBE PROMOCIONES-PDV STA.EULALI,124,26,114,61,53,17,17,35,2,6,41,58,156,469:09,49 / 92,,"
"2006/2007,""DE LA FUENTE VALDIZAN, ALEJANDRA"",Nacional,ENSINO,80,24,87,32,55,4,5,24,2,5,34,58,51,381:55,31 / 78,,"
"2006/2007,""DE SOUZA MACHADO, ERIKA CRISTINA"",Nacional,C. ROS CASARES VALENCIA,282,24,189,69,120,19,28,41,22,3,57,63,400,516:19,122 / 197,,38 / 53"
"2006/2007,""DENTI MUNTANE, AINA"",Nacional,GRAN CANARIA,31,18,14,4,10,4,3,5,2,2,9,20,21,84:01,,,"
"2006/2007,""DIENG, FATOU"",Extranjero,EBE PROMOCIONES-PDV STA.EULALI,202,26,42,11,31,64,17,67,1,10,45,47,119,744:49,27 / 82,37 / 99,"
"2006/2007,""DIEZ FERNANDEZ, NAIARA"",Nacional,MANN FILTER ZARAGOZA,66,26,24,7,17,9,13,18,1,2,17,37,12,277:55,,15 / 46,"
"2006/2007,""DOMINGUEZ FERNANDEZ, SILVIA"",Nacional,PERFUMERIAS AVENIDA,134,26,51,11,40,70,26,46,1,3,73,57,159,557:51,27 / 76,9 / 38,53 / 65"
"2006/2007,""DONAIRE MALAGELADA, ELSA"",Nacional,RIVAS FUTURA,55,24,99,25,74,13,21,18,4,1,13,29,99,489:30,,10 / 41,"
"2006/2007,""DUBLJEVIC, JELENA"",Extranjero,RIVAS FUTURA,158,23,104,24,80,12,19,36,5,6,48,64,148,393:32,60 / 135,,"
"2006/2007,""DYDEK, MARGO"",Extranjero,C. ROS CASARES VALENCIA,206,24,172,26,146,23,2,33,49,3,45,47,319,464:31,87 / 162,,"
"2006/2007,""DYDEK, MARTA KRYSTYNA"",Extranjero,MANN FILTER ZARAGOZA,122,26,57,17,40,8,9,20,13,3,37,52,65,383:57,20 / 71,18 / 55,"
"2006/2007,""FEASTER, ALISON"",Extranjero,C. ROS CASARES VALENCIA,123,26,27,11,16,31,13,27,2,2,18,56,63,443:26,,23 / 62,"
"2006/2007,""FERNANDEZ FARRES, MARTA"",Nacional,UB F.C BARCELONA,427,23,107,20,87,85,51,59,21,10,118,26,511,753:59,126 / 246,17 / 69,124 / 155"
"2006/2007,""FERRAGUT CASTILLO, MARINA"",Nacional,C. ROS CASARES VALENCIA,179,24,76,19,57,25,14,22,4,1,18,58,167,482:32,65 / 112,11 / 26,"
"2006/2007,""GALLEGO VICARIO, SANDRA"",Nacional,UB F.C BARCELONA,166,22,34,5,29,56,26,46,1,3,22,26,132,497:02,34 / 76,28 / 73,"
"2006/2007,""GARCIA GARCIA, VANESA"",Nacional,USP-CEU MMT ESTUDIANTES,35,18,10,3,7,11,5,22,,6,14,12,1,151:49,,,"
"2006/2007,""GARCIA MATA, GEMA"",Nacional,REAL CLUB CELTA VIGOURBAN,90,25,35,8,27,47,28,23,,2,30,41,115,418:24,,14 / 36,"
"2006/2007,""GARVAO ZAKRZESKI, SOELI"",Extranjero,ENSINO,148,13,73,28,45,30,20,46,9,9,36,47,150,402:43,51 / 94,,"
"2006/2007,""GERMAN VELASCO, ICIAR"",Nacional,ARRANZ-JOPISA BURGOS,76,25,40,9,31,22,22,31,1,,22,54,47,358:49,,5 / 32,"
"2006/2007,""GINES GONZALEZ, MARTA"",Nacional,ACIS INCOSA LEON,93,26,23,5,18,20,15,29,1,,39,22,97,339:40,,,"
"2006/2007,""GOMEZ FERREIROS, SARA"",Nacional,EXTRUGASA,257,26,71,22,49,40,57,65,1,10,81,66,162,789:35,31 / 104,45 / 140,60 / 96"
"2006/2007,""GOMEZ IGLESIAS, REGINA"",Nacional,ENSINO,227,26,60,14,46,54,70,75,,12,49,47,137,826:54,62 / 149,26 / 105,"
"2006/2007,""GOMEZ IGUAL, ANNA"",Nacional,ACIS INCOSA LEON,24,15,14,1,13,6,4,3,,1,7,8,31,100:39,,,"
"2006/2007,""GOMEZ NOVO, MARIA ARANZAZU"",Nacional,ENSINO,243,26,162,35,127,72,72,75,2,14,136,76,335,896:48,60 / 140,16 / 84,75 / 114"
"2006/2007,""GOMEZ SANDO, GERTRUDIS"",Nacional,EXTRUGASA,63,26,72,19,53,4,7,25,,3,29,50,43,319:50,24 / 62,,"
"2006/2007,""GRANDE FLORES, LAURA"",Nacional,GRAN CANARIA,121,26,57,7,50,78,35,63,3,6,50,39,146,603:40,39 / 106,,37 / 53"
"2006/2007,""GULAK, PATRYCJA ANNA"",Extranjero,ACIS INCOSA LEON,66,25,37,13,24,4,4,15,3,2,20,39,21,229:59,18 / 54,,"
"2006/2007,""HAJDUNE CSASZAR, ANDREA"",Extranjero,HONDARRIBIA-IRÚN,66,24,56,13,43,3,2,23,5,4,17,38,33,302:01,25 / 73,,"
"2006/2007,""HAMMON, REBECCA LYNN"",Extranjero,RIVAS FUTURA,227,13,39,7,32,53,17,56,1,4,41,37,186,404:29,49 / 87,33 / 83,"
"2006/2007,""HERRERA AREVALO, MIRIAM"",Nacional,EXTRUGASA,102,26,53,21,32,13,21,20,5,1,15,28,78,345:58,27 / 68,12 / 42,"
"2006/2007,""HILL, JOANNE KAY"",Extranjero,EXTRUGASA,257,26,110,34,76,44,46,59,,5,97,92,241,752:51,64 / 144,25 / 84,54 / 72"
"2006/2007,""HLEDE, KORALJKA"",Extranjero,HONDARRIBIA-IRÚN,203,19,78,12,66,41,12,73,,4,53,41,166,568:24,67 / 130,10 / 33,39 / 56"
"2006/2007,""IRVIN, SANDORA LAVETT"",Extranjero,USP-CEU MMT ESTUDIANTES,283,21,199,56,143,23,32,51,32,10,65,74,349,682:27,78 / 183,24 / 48,55 / 76"
